屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
ＡＲＴＳ　ＣＲＡＦＴ　ＪＡＰＡＮ,ｱｰﾂｸﾗﾌﾄｼﾞｬﾊﾟﾝ,小売業,家具,木製家具・小物の製造販売,朝日,509-3324,朝日町上ケ見野畑40-1,55-3005,利用不可
アーユルヴェーダサロン　シャンティ,ｱｰﾕﾙｳﾞｪｰﾀﾞｻﾛﾝｼｬﾝﾃｨ,理美容・エステ業（マッサージ業）,マッサージ,オイルマッサージ,高山,506-0021,名田町2-74-1レジデンスNADA 1-A,080-3280-9269,利用可能
アイ　カーテン,ｱｲｶｰﾃﾝ,小売業,その他小売り,カーテン・カーペット・壁紙・他,高山,506-0055,上岡本町4-85,37-1705,利用可能
（同）アイッシュ,ｱｲｯｼｭ,小売業,家電,家電品,高山,506-0052,下岡本町1857-6,37-0850,利用可能
アイビー化粧品　下谷営業所,ｱｲﾋﾞｰｹｼｮｳﾋﾝ,小売業,その他小売り,一般化粧品,高山,506-0035,新宮町700-64,32-4010,利用不可
iphone修理　ぐんぐん,ｱｲﾌｫﾝｼｭｳﾘｸﾞﾝｸﾞﾝ,その他の業種,その他,携帯修理,高山,506-0031,西之一色町2丁目126-1,36-1555,利用可能
Eyelash salon Citrine,ｱｲﾗｯｼｭｻﾛﾝｼﾄﾘﾝ,理美容・エステ業（マッサージ業）,エステ,美容業　まつ毛・眉毛,高山,506-0041,下切町343,070-2808-1445,利用不可
アウトドアショップ　KONG,ｱｳﾄﾄﾞｱｼｮｯﾌﾟｺﾝｸﾞ,小売業,その他小売り,登山・キャンプ・アウトドア用品,高山,506-0838,馬場町2-86,33-0003,利用可能
アウトピスタ,ｱｳﾄﾋﾟｽﾀ,自動車販売・修理業,自動車,自動車整備,高山,506-0058,山田町305-3,62-9390,利用不可
居酒屋　阿吽,ｱｳﾝ,飲食業,酒場,酒類、食事,高山,506-0017,朝日町28,32-9277,利用不可
青木自動車㈲　高山店,ｱｵｷｼﾞﾄﾞｳｼｬ(ﾕﾀｶﾔﾏﾃﾝ,自動車販売・修理業,自動車,新車･中古車販売、車検、修理,高山,506-0825,石浦町5-97,34-7238,利用可能
青木自動車㈲　本社,ｱｵｷｼﾞﾄﾞｳｼｬ(ﾕﾎﾝｼｬ,自動車販売・修理業,自動車,新車･中古車販売、車検、修理,久々野,509-3205,久々野町久々野1891-3,52-3030,利用可能
青木鍼灸マッサージ治療院,ｱｵｷｼﾝｷｭｳﾏｯｻｰｼﾞﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,鍼灸マッサージ,久々野,509-3205,久々野町久々野993-1,52-2486,利用不可
あおぞら犬猫病院,ｱｵｿﾞﾗｲﾇﾈｺﾋﾞｮｳｲﾝ,生活関連業,ペット関連,療法食等,高山,506-0851,大新町5-25-24,34-0085,利用不可
蒼空洋品店,ｱｵｿﾞﾗﾖｳﾋﾝﾃﾝ,小売業,衣料品・履物,洋服、雑貨、靴下,高山,506-0825,石浦町7-259,090-7313-6702,利用可能
あかつき整体院,ｱｶﾂｷｾｲﾀｲｲﾝ,理美容・エステ業（マッサージ業）,整体,整体、リフレクソロジー,高山,506-0001,冬頭町302番地,070-8417-8714,利用可能
㈲暁 飛騨の里給油所,ｱｶﾂｷﾋﾀﾞﾉｻﾄｷｭｳﾕｼｮ,小売業,ガソリンスタンド・燃料,燃料・洗車･オイル・タイヤ他,高山,506-0055,上岡本町5-190,32-5001,利用不可
赤なんばん,ｱｶﾅﾝﾊﾞﾝ,飲食業,焼肉店,焼肉,高山,506-0054,岡本町1-42-27,35-0505,利用不可
㈲赤保木自動車,ｱｶﾎｷｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車販売・修理,高山,506-0045,赤保木町1113-2,34-7936,利用可能
灯り家,ｱｶﾘﾔ,飲食業,焼肉店,飛騨牛焼肉,高山,506-0017,朝日町11-4,35-0789,利用可能
灯り家の「はなれ」,ｱｶﾘﾔﾉﾊﾅﾚ,飲食業,焼肉店,飛騨牛の焼きしゃぶ・焼肉,高山,506-0026,花里町6-9-1,32-2911,利用可能
秋神温泉,ｱｷｶﾞﾐｵﾝｾﾝ,ホテル・旅館業等,旅館,宿泊,朝日,509-3313,朝日町胡桃島355,56-1021,利用不可
Active 整体院,ｱｸﾃｨﾌﾞｾｲﾀｲｲﾝ,理美容・エステ業（マッサージ業）,整体,整体,高山,506-0035,新宮町3705,080-4581-4705,利用不可
㈱アグリランド,ｱｸﾞﾘﾗﾝﾄﾞ,小売業,食料品,米・米粉・エゴマ,高山,506-0035,新宮町2497番地1,32-2622,利用可能
㈲　あけぼのや,ｱｹﾎﾞﾉﾔ,小売業,パン・菓子,ダンゴ,高山,506-0053,昭和町3-181-3,0577-34-1112,利用不可
あさいちてい　桐生店,ｱｻｲﾁﾃｲｷﾘｭｳﾃﾝ,飲食業,食堂,うどん・丼物,高山,506-0004,桐生町4-151,32-0331,利用不可
あさいちてい　バロー店,ｱｻｲﾁﾃｲﾊﾞﾛｰﾃﾝ,飲食業,麺類店,うどん・丼物,高山,506-0054,岡本町3-18-2,070-2835-8596,利用不可
あさのや,ｱｻﾉﾔ,小売業,その他小売り,玩具,高山,506-0846,上三之町64,34-0777,利用不可
朝日軒,ｱｻﾋｹﾝ,理美容・エステ業（マッサージ業）,理容室,理容業,高山,506-0025,天満町6-29,32-2086,利用不可
朝日工藝/ギャラリーｐｏｒｔ,ｱｻﾋｺｳｹﾞｲ/ｷﾞｬﾗﾘｰﾎﾟｰﾄ,小売業,雑貨,椅子・アクセサリー,清見,506-0103,清見町藤瀬155,090-7241-8272,利用不可
コスメ＆ファッション　あざみ,ｱｻﾞﾐ,小売業,その他小売り,化粧品・エプロン・衣料品,高山,506-0012,八軒町3-49,32-3618,利用可能
Asiancafeまめ,ｱｼﾞｱﾝｶﾌｪﾏﾒ,飲食業,喫茶店,喫茶軽食,高山,506-0035,新宮町3547-6,080-4471-7253,利用可能
味彩　七杜,ｱｼﾞｻｲﾅﾅﾓﾘ,飲食業,レストラン,飛騨牛料理・高山ラーメン他,清見,506-0101,清見町牧ケ洞2145,68-0022,利用可能
味処　山車,ｱｼﾞﾄﾞｺﾛｻﾝｼｬ,飲食業,酒場,酒類・魚料理,高山,506-0843,下一之町54,080-5105-7656,利用可能
味処萬代角店,ｱｼﾞﾄﾞｺﾛﾊﾞﾝﾀﾞｲｶﾄﾞﾐｾ,飲食業,日本料理店,日本料理・和食,高山,506-0015,花川町18番地,0577-33-5166,利用可能
